"key","en — English","ru — Русский","ca — Català","de — Deutsch","el — Ελληνικά","es — Español","fr — Français","id — Bahasa Indonesia","it — Italiano","ja — 日本語","nl — Nederlands","oc — Occitan","pt_BR — Português (Brasil)","sv — Svenska","tr — Türkçe","zh_Hans — 简体中文","zh_Hant — 繁體中文"
"Automation.add-agent","Add an agent…","Добавить агента…","","","","","","","","","","","","","","",""
"Automation.add-branch","+ branch on a condition","+ ветка по условию","","","","","","","","","","","","","","",""
"Automation.add-route","+ route","+ маршрут","","","","","","","","","","","","","","",""
"Automation.add-route-option","Add the option","Добавить опцию","","","","","","","","","","","","","","",""
"Automation.add-transition","Add a transition","Добавить переход","","","","","","","","","","","","","","",""
"Automation.block-agent","Agent","Агент","","","","","","","","","","","","","","",""
"Automation.block-deploy","Deploy","Деплой","","","","","","","","","","","","","","",""
"Automation.block-none","Column","Колонка","","","","","","","","","","","","","","",""
"Automation.block-test","Test","Тест","","","","","","","","","","","","","","",""
"Automation.board-prompt","What every agent on this board is told first","Что сказано каждому агенту этой доски первым делом","","","","","","","","","","","","","","",""
"Automation.cancel","Close","Закрыть","","","","","","","","","","","","","","",""
"Automation.columns-hint","Every column of the board is here. Pick one to say what happens when a card lands in it, or drop a block from the palette to make a new one.","Здесь все колонки доски. Выберите колонку, чтобы сказать, что происходит с попавшей в неё карточкой, или перетащите блок из палитры — появится новая.","","","","","","","","","","","","","","",""
"Automation.columns-view","Columns","Колонки","","","","","","","","","","","","","","",""
"Automation.cond-always","always","всегда","","","","","","","","","","","","","","",""
"Automation.cond-comment","only if the agent wrote…","только если агент написал…","","","","","","","","","","","","","","",""
"Automation.cond-comment-placeholder","text in the agent’s closing comment","текст в итоговом комментарии агента","","","","","","","","","","","","","","",""
"Automation.cond-pick-property","— property —","— свойство —","","","","","","","","","","","","","","",""
"Automation.cond-pick-value","— value —","— значение —","","","","","","","","","","","","","","",""
"Automation.cond-property","only if the card has…","только если на карточке…","","","","","","","","","","","","","","",""
"Automation.cond-when","Condition","Условие","","","","","","","","","","","","","","",""
"Automation.crew","Worked by","Разбирают","","","","","","","","","","","","","","",""
"Automation.deploy","Deploy target","Цель деплоя","","","","","","","","","","","","","","",""
"Automation.deploy-default","— the card’s own —","— как решит карточка —","","","","","","","","","","","","","","",""
"Automation.empty-panel","Settings of the selected column or route appear here. Pick a column to start.","Здесь появятся настройки выбранной колонки или маршрута. Начните с колонки.","","","","","","","","","","","","","","",""
"Automation.limit","At once (0 — no limit)","Одновременно (0 — без лимита)","","","","","","","","","","","","","","",""
"Automation.new-route-name","New route","Новый маршрут","","","","","","","","","","","","","","",""
"Automation.no-agents","No agents registered yet.","Агентов пока нет.","","","","","","","","","","","","","","",""
"Automation.no-worktrees","worktreeMode is “never”, so two agents cannot work one project at the same time: the crew will take cards one after another.","worktreeMode — «never», поэтому два агента не могут работать в одном проекте одновременно: состав будет разбирать карточки по очереди.","","","","","","","","","","","","","","",""
"Automation.on-arrival","When a card lands here","Когда карточка попадает сюда","","","","","","","","","","","","","","",""
"Automation.override","Only on this route…","Только в этом маршруте…","","","","","","","","","","","","","","",""
"Automation.override-none","— whatever the column does —","— как в колонке —","","","","","","","","","","","","","","",""
"Automation.palette","Drag onto the canvas","Перетащите на холст","","","","","","","","","","","","","","",""
"Automation.property","Columns are","Колонки — это","","","","","","","","","","","","","","",""
"Automation.ready-routes","Ready-made routes for these columns:","Готовые маршруты для этих колонок:","","","","","","","","","","","","","","",""
"Automation.remove-from-route","Take off this route","Убрать из маршрута","","","","","","","","","","","","","","",""
"Automation.remove-route","Delete this route","Удалить маршрут","","","","","","","","","","","","","","",""
"Automation.remove-transition","Remove","Убрать","","","","","","","","","","","","","","",""
"Automation.route","Route","Маршрут","","","","","","","","","","","","","","",""
"Automation.route-columns","Goes through: {columns}","Проходит через: {columns}","","","","","","","","","","","","","","",""
"Automation.route-crew","Worked here by","Здесь разбирают","","","","","","","","","","","","","","",""
"Automation.route-hint","Pull from the right side of a column to join it to the next one (upper point — on success, lower — on failure), from the bottom point to wait for an event. A faded column joins the route when you click or drag it.","Потяните от правого края колонки к следующей, чтобы соединить их (верхняя точка — при успехе, нижняя — при провале), от нижней — чтобы ждать события. Бледная колонка встаёт в маршрут по клику или перетаскиванию.","","","","","","","","","","","","","","",""
"Automation.route-name","Name","Название","","","","","","","","","","","","","","",""
"Automation.route-name-hint","A card takes this route by naming it — the option of the same name on the card.","Карточка встаёт на маршрут, назвав его — опцией с тем же именем.","","","","","","","","","","","","","","",""
"Automation.route-option-missing","No card can name this route: the board has no option called that.","Ни одна карточка не сможет назвать этот маршрут: на доске нет такой опции.","","","","","","","","","","","","","","",""
"Automation.route-project","Project (optional)","Проект (необязательно)","","","","","","","","","","","","","","",""
"Automation.route-project-placeholder","Cards of this project take this route","Карточки этого проекта едут этим маршрутом","","","","","","","","","","","","","","",""
"Automation.route-property","Route","Сценарий","","","","","","","","","","","","","","",""
"Automation.save","Save","Сохранить","","","","","","","","","","","","","","",""
"Automation.setup","Walk the setup again…","Пройти настройку заново…","","","","","","","","","","","","","","",""
"Automation.subtitle","A column says what is done to a card that lands in it. A route says where the card goes afterwards.","Колонка говорит, что делают с попавшей в неё карточкой. Маршрут — куда карточка едет дальше.","","","","","","","","","","","","","","",""
"Automation.title","How this board works","Как работает эта доска","","","","","","","","","","","","","","",""
"Automation.transition","Transition","Переход","","","","","","","","","","","","","","",""
"Automation.transition-on","When","Когда","","","","","","","","","","","","","","",""
"Automation.transition-to","The card moves to","Карточка едет в","","","","","","","","","","","","","","",""
"Automation.transitions","From here the card goes","Отсюда карточка едет","","","","","","","","","","","","","","",""
"Automation.unsaved","Unsaved changes","Есть несохранённое","","","","","","","","","","","","","","",""
"BlocksEditor.creates-block","Creates a new {type} block.","создаёт блок «{type}».","","","","","","","","","","","","","","",""
"BlocksEditor.placeholder","Type your text, or a slash command","Введите текст или слэш-команду","","","","","","","","","","","","","","",""
"BoardComponent.add-a-group","+ Add a group","+ Добавить группу","+ Afegir un grup","+ Hinzufügen einer Gruppe","+ Προσθήκη ομάδας","+ Añadir un grupo","+ Ajouter un groupe","+ Tambahkan kelompok","+ Aggiungi un gruppo","+ グループを追加する","+ Een groep toevoegen","+ Apondre un grop","+ Adicione um grupo","+ Lägg till grupp","+ Grup ekle","+ 新增群组","+ 新增群組"
"BoardComponent.column-agents","What happens in this column…","Что происходит в этой колонке…","","","","","","","","","","","","","","",""
"BoardComponent.delete","Delete","Удалить","Eliminar","Löschen","Διαγραφή","Borrar","Supprimer","Hapus","Elimina","削除","Verwijderen","Suprimir","Excluir","Radera","Sil","删除","刪除"
"BoardComponent.hidden-columns","Hidden columns","Скрытые столбцы","Columnes ocultes","Versteckte Spalten","Κρυφές στήλες","Columnas Ocultas","Colonnes cachées","Kolom-kolom yang disembunyikan","Campi nascosti","非表示","Verborgen kolommen","Colomnas rescondudas","Colunas ocultas","Dolda kolumner","Gizli sütunlar","隐藏列","隱藏列"
"BoardComponent.hide","Hide","Скрыть","Amagar","Ausblenden","Απόκρυψη","Ocultar","Cacher","Sembunyikan","Nascondi","非表示","Verberg","Rescondre","Ocultar","Dölj","Gizle","隐藏","隱藏"
"BoardComponent.new","+ New","+ Создать","+ Nou","+ Neu","+ Νέο","+ Nuevo","+ Nouveau","+ Buat","+ Nuovo","+ 新規","+ Nieuw","+ Nòu","Novo","+ Ny","+ Yeni","+ 新增","+ 新增"
"BoardComponent.no-property","No {property}","{property} пусто","Sense {property}","Keine {property}","","Sin {property}","Pas de {property}","Tidak ada {property}","No {property}","{property} 無し","Geen {property}","Cap de {property}","Sem {property}","Ingen {property}","{property} yok","无 {property}","無 {property}"
"BoardComponent.no-property-title","Items with an empty {property} property will go here. This column cannot be removed.","Здесь будут элементы с пустым свойством {property}. Этот столбец не может быть удален.","Els elements amb una propietat {property} buida anirán aquí. Aquesta col·lumna no pot eliminar-se.","Elemente mit einer leeren {property} Eigenschaft erscheinen hier. Diese Spalte kann nicht entfernt werden.","","Elementos sin la propiedad {property} irán aquí. Esta columna no se puede eliminar.","Les éléments sans propriété {property} seront placés ici. Cette colonne ne peut pas être supprimée.","Item dengan properti {property} yang kosong akan berpindah ke sini. Kolom ini tidak dapat dihapus.","Gli oggetti senza alcuna proprietà {property} andranno qui. Questo campo non può essere rimosso.","{property}が空のアイテムがここに表示されます。このカラムは削除できません。","Items met een lege {property} eigenschap komen hier te staan. Deze kolom kan niet worden verwijderd.","Los elements sens proprietats {property} seràn plaçats aquí. Se pòt pas suprimir aquesta colomna.","Itens com um valor {property} vazio aparecerão aqui. Esta coluna não pode ser excluída.","Objekt med en tom {property} egenskap grupperas här. Denna kolumn kan inte tas bort.","{property} alanı boş olan ögeler buraya atanır. Bu sütun silinemez.","{property} 属性为空的项目将转到此处，该列无法删除。","{property} 屬性為空的項目將轉到此處。該列無法刪除。"
"BoardComponent.show","Show","Показать","Mostrar","Anzeigen","Εμφάνιση","Mostrar","Montrer","Tampilkan","Mostra","表示","Toon","Mostrar","Exibir","Visa","Görüntüle","显示","顯示"
"BoardMember.schemeAdmin","Admin","Администратор","Admin","Administrator","","Administrador","Admin","","Amministratore","管理者","Beheerder","","Administrador","Administratör","Yönetici","管理","管理員"
"BoardMember.schemeCommenter","Commenter","Комментатор","Comentarista","Kommentator","","","Commentateur","","Commentatore","コメンター","Commentator","","Comentarista","Kommentator","Yorumcu","评论者","評論者"
"BoardMember.schemeEditor","Editor","Редактор","Editor","Bearbeiter","","Editor","Éditeur","","Editore","編集者","Bewerker","","Editor","Redaktör","Düzenleyici","编辑器","編輯者"
"BoardMember.schemeNone","None","Никто","Cap","Keine","","Ninguno","Aucun","","Niente","なし","Geen","","Nenhum","Inget","Yok","无","無"
"BoardMember.schemeViewer","Viewer","Наблюдатель","Visualitzador","Leser","","Visualizador","Lecteur","","Vista","閲覧者","Toeschouwer","","Visualizador","Granskare","Görüntüleyici","视图","閱覽者"
"BoardPage.newVersion","A new version of Boards is available, click here to reload.","Доступна новая версия. Нажмите, чтобы перезагрузить.","Una nova versió de Boards és disponible, clica aquí per recarregar.","Eine neue Version von Boards ist verfügbar, klicke hier, um neu zu laden.","","Una nueva versión de Boards está disponible, haz clic aquí para recargar.","Une nouvelle version de Boards est disponible, cliquez ici pour recharger.","Versi baru Board tersedia, klik di sini untuk memuat ulang.","Una nuova versione di Board è disponibile, clicca qui per ricaricare.","Boardsの新しいバージョンが利用可能です。ここをクリックして再読み込みしてください。","Er is een nieuwe versie van Boards, klik hier om te herladen.","","Uma nova versão do Boards está disponível, clique aqui para recarregar.","En ny version av Boards finns tillgänglig. Klicka här för att uppdatera.","Yeni bir pano sürümü yayınlanmış. Yeniden yüklemek için buraya tıklayın.","Boards 的新版本已可用，点击这里重新加载。","新版本的版面已可用，點此處重新載入。"
"BoardPage.syncFailed","Board may be deleted or access revoked.","Доска может быть удалена или доступ аннулирован.","El tauler podria ser eliminat o revocat l'accés.","Das Board kann gelöscht oder der Zugang entzogen werden.","","El tablero puede haber sido eliminado o el acceso revocado.","Le tableau a peut-être été supprimé ou vos droits d'accès révoqués.","Papan mungkin terhapus atau akses Anda ke papan ditolak.","La board potrebbe essere cancellata o l'accesso revocato.","Boardが削除されたか、アクセスが取り消されました。","Het bord kan worden verwijderd of de toegang kan worden ingetrokken.","Lo tablèu es benlèu suprimit o l’accès es revocat.","O Board pode ter sido excluído ou o acesso revogado.","Denna Board kan ha blivit raderad eller så har din behörighet tagits bort.","Pano silinmiş ya da erişim izni geri alınmış olabilir.","板块或许已被删除或访问授权已被撤销。","版面可能已被刪除或已被撤銷存取。"
"BoardSetup.agent-known","Already registered: {names}","Уже добавлены: {names}","","","","","","","","","","","","","","",""
"BoardSetup.agent-why","The agent that picks a card up. It has to be logged in already; here it is only given a name.","Агент, который берёт карточку. Он должен быть уже авторизован; здесь ему только дают имя.","","","","","","","","","","","","","","",""
"BoardSetup.browser-why","The ""QA"" column needs a browser, which the agent gets from a browser MCP server. Without one a test session will not start; the configuration below usually fits.","Колонке «QA» нужен браузер — агенту его даёт браузерный MCP-сервер. Без него тестовая сессия не запустится; конфигурация ниже обычно подходит.","","","","","","","","","","","","","","",""
"BoardSetup.choose-folder","Choose a folder…","Выбрать каталог…","","","","","","","","","","","","","","",""
"BoardSetup.come-back","You can walk this again any time: ⋯ → “How this board works…” → “Walk the setup again…”.","Пройти настройку снова можно в любой момент: ⋯ → «Как работает эта доска…» → «Пройти настройку заново…».","","","","","","","","","","","","","","",""
"BoardSetup.deploy-domain","Preview domain (optional)","Домен превью (необязательно)","","","","","","","","","","","","","","",""
"BoardSetup.deploy-host","Dokku host","Хост Dokku","","","","","","","","","","","","","","",""
"BoardSetup.deploy-key","SSH key (absolute path, optional)","Ключ SSH (абсолютный путь, необязательно)","","","","","","","","","","","","","","",""
"BoardSetup.deploy-name","Name","Название","","","","","","","","","","","","","","",""
"BoardSetup.deploy-user","SSH user (default dokku)","Пользователь SSH (по умолчанию dokku)","","","","","","","","","","","","","","",""
"BoardSetup.deploy-why","Where a card’s branch is published from the ""Deploy"" column. Skip it if nothing is deployed from here — everything else still works.","Куда публикуется ветка карточки из колонки «Деплой». Пропустите, если отсюда ничего не деплоится — остальное будет работать.","","","","","","","","","","","","","","",""
"BoardSetup.done-branch","For transitions that wait for a branch to be merged, fill the card’s ""branch"" property: that is the branch being watched.","Для переходов, ждущих мержа ветки, заполните на карточке свойство «branch» — именно за этой веткой следит наблюдатель.","","","","","","","","","","","","","","",""
"BoardSetup.done-how","Drag a card into ""{column}"" — creating it there does not start anything, the trigger is the move. Pick a route in the card’s route field, or the card will only be worked on where it stands.","Перетащите карточку в «{column}» — созданная прямо в колонке ничего не запустит, триггер именно перенос. Выберите маршрут в поле сценария, иначе карточку обработают там, где она стоит, и дальше она не поедет.","","","","","","","","","","","","","","",""
"BoardSetup.finish","Done","Готово","","","","","","","","","","","","","","",""
"BoardSetup.later","I’ll find my way around","Я сам освоюсь","","","","","","","","","","","","","","",""
"BoardSetup.next","Next","Дальше","","","","","","","","","","","","","","",""
"BoardSetup.pick-project","Choose a project folder","Выберите папку проекта","","","","","","","","","","","","","","",""
"BoardSetup.project-git","This board publishes a branch or waits for one, so its project has to be under git. A board that does neither takes any folder.","Эта доска публикует ветку или ждёт её, поэтому её проект должен быть под git. Доске, которая ничего такого не делает, подойдёт любая папка.","","","","","","","","","","","","","","",""
"BoardSetup.project-known","Already registered: {names}","Уже добавлены: {names}","","","","","","","","","","","","","","",""
"BoardSetup.project-name","Name","Название","","","","","","","","","","","","","","",""
"BoardSetup.project-why","An agent works in a project on your machine. A card is matched to one by its ""Projects"" field, which this fills in for you.","Агент работает в проекте на вашей машине. Карточка находит его по своему полю «Проекты» — оно заполнится само.","","","","","","","","","","","","","","",""
"BoardSetup.save","Save","Сохранить","","","","","","","","","","","","","","",""
"BoardSetup.skip","Skip","Пропустить","","","","","","","","","","","","","","",""
"BoardSetup.source-name","Name of the source","Имя источника","","","","","","","","","","","","","","",""
"BoardSetup.source-name-example","phone","телефон","","","","","","","","","","","","","","",""
"BoardSetup.source-token","The token, shown once — only its hash is kept, so copy it now:","Токен, показывается один раз — хранится только его хэш, так что скопируйте сейчас:","","","","","","","","","","","","","","",""
"BoardSetup.source-why","A source puts cards on this board by itself — a notification from your phone, a script, a service. Records are sent to it over HTTP at the address the board is served on; from a phone that is the tailnet address.","Источник сам кладёт карточки на эту доску — уведомление с телефона, скрипт, сервис. Записи отправляются в него HTTP-запросом на тот же адрес, по которому открыта доска; с телефона это адрес в вашей сети Tailscale.","","","","","","","","","","","","","","",""
"BoardSetup.step-agent","Agent","Агент","","","","","","","","","","","","","","",""
"BoardSetup.step-browser","QA","QA","","","","","","","","","","","","","","",""
"BoardSetup.step-deploy","Deploy","Деплой","","","","","","","","","","","","","","",""
"BoardSetup.step-done","Ready","Готово","","","","","","","","","","","","","","",""
